--- EXPLAINABLE AI LOG ---
Step | Agent | Action | Reason
Step 147 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 148 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 149 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 150 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 151 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 152 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 153 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 154 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 155 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 156 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 157 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 158 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 159 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 160 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 161 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 162 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 163 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 164 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 165 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 166 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 167 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 168 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 169 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 170 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 171 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 172 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 173 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 174 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 175 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 176 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 177 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 178 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 179 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 180 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 181 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 182 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 183 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 184 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 185 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 186 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 187 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 188 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 189 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 190 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 191 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 192 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 193 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 194 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 195 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 196 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 197 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 198 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 199 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 200 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 201 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 202 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 203 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 204 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 205 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 206 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
Step 207 | SYSTEM | OVERRIDE | Reason: Ambulance detected at APPROACHING_J1. Activating Green Corridor.
