Step,Junction,QueueLength,FuelConsumption,Reward
508,J1,23,71590.32995210485,-1.72
508,J2,18,58173.39231975998,3.42
508,J3,25,94139.29804126808,-2.94
508,J4,22,68192.16871640406,-0.68
509,J1,21,78129.66333630674,1.22
509,J2,20,63661.195589439034,-2.64
509,J3,25,98129.0381462408,-0.98
509,J4,20,88375.14482882968,1.12
510,J1,20,72508.03480274694,0.27
510,J2,20,75350.13642623529,-0.75
510,J3,26,87053.30860740856,-1.87
510,J4,21,61103.72959285561,-1.61
511,J1,22,75183.85567987518,-2.75
511,J2,17,63910.29296870876,2.36
511,J3,25,86299.93503935618,0.14
511,J4,20,75821.80574183921,0.24
512,J1,22,68851.01875100148,-0.69
512,J2,19,60819.81100944928,-2.61
512,J3,24,73656.00528061525,0.26
512,J4,18,65709.80070375596,1.34
513,J1,17,67796.57837171451,4.32
513,J2,18,68101.04726384285,0.32
513,J3,23,90449.58161703285,0.10
513,J4,20,68097.82213275626,-2.68
514,J1,20,71452.328426301,-3.71
514,J2,21,85278.79022389906,-3.85
514,J3,21,68237.42682065768,1.32
514,J4,21,71215.75752288556,-1.71
556,J1,29,93215.93532235977,-9.93
556,J2,26,90918.09195890251,-5.91
556,J3,23,78789.72036678472,-2.79
556,J4,19,65841.52203062546,1.34
591,J1,31,122009.97332151233,-3.22
591,J2,29,91961.27368287656,-3.92
591,J3,33,100004.60420744779,-11.00
591,J4,15,77946.09702691909,3.22
627,J1,19,69983.92671164517,11.30
627,J2,38,119647.56244194291,-10.20
627,J3,45,154044.47980169972,-13.54
627,J4,15,53061.63888430439,-0.53
628,J1,15,58636.71468258674,3.41
628,J2,34,171624.3689586829,2.28
628,J3,40,169363.37832211575,3.31
628,J4,22,90269.57889231518,-7.90
629,J1,15,56475.75203667229,-0.56
629,J2,34,110100.32118150032,-1.10
629,J3,33,120658.58895270339,5.79
629,J4,30,90015.3214778132,-8.90
630,J1,16,61830.603470653776,-1.62
630,J2,34,95203.05642276045,-0.95
630,J3,28,101554.15839531086,3.98
630,J4,32,112956.88196636074,-3.13
631,J1,17,68527.07836026794,-1.69
631,J2,28,107692.4119238823,4.92
631,J3,30,89806.34120921689,-2.90
631,J4,36,117374.5004930227,-5.17
632,J1,17,58301.39420062318,-0.58
632,J2,25,111881.87906300201,1.88
632,J3,32,84652.05864461976,-2.85
632,J4,40,154121.16489569255,-5.54
633,J1,16,57185.071984088514,0.43
633,J2,21,92098.32623778054,3.08
633,J3,32,103096.1804597146,-1.03
633,J4,43,139266.4687390717,-4.39
634,J1,21,64752.0508289965,-5.65
634,J2,21,69414.80001443725,-0.69
634,J3,28,102819.2971965474,2.97
634,J4,45,146253.05245051923,-3.46
635,J1,21,75655.33754253495,-0.76
635,J2,17,69170.01478831927,3.31
635,J3,24,104777.03218868832,2.95
635,J4,40,142600.47894696525,3.57
636,J1,21,70742.59798106001,-0.71
636,J2,20,67348.9434529886,-3.67
636,J3,23,72688.857633766,0.27
636,J4,40,126971.58498765642,-1.27
637,J1,19,69244.03008822465,1.31
637,J2,21,77579.51411209746,-1.78
637,J3,18,68061.03503148712,4.32
637,J4,39,132277.74971001415,-0.32
638,J1,22,68023.57505426169,-3.68
638,J2,23,76958.45249573434,-2.77
638,J3,18,56206.59335448835,-0.56
638,J4,41,118026.92824000245,-3.18
639,J1,21,80625.35422160433,0.19
639,J2,23,82253.22766546928,-0.82
639,J3,19,64044.18503311312,-1.64
639,J4,35,125740.85937271419,4.74
640,J1,17,64084.491899247325,3.36
640,J2,23,70428.06957574867,-0.70
640,J3,19,75478.73529871154,-0.75
640,J4,34,131587.16242806384,-0.32
641,J1,20,69968.1709104109,-3.70
641,J2,21,78332.74469596778,1.22
641,J3,20,75590.73788815421,-1.76
641,J4,31,101488.73130425237,1.99
642,J1,21,80025.52153619645,-1.80
642,J2,23,89270.13492893707,-2.89
642,J3,17,59087.04965459854,2.41
642,J4,27,96998.35087259772,3.03
680,J1,27,94898.2820020834,-6.95
680,J2,28,86743.7095364668,-5.87
680,J3,13,52341.070602690146,3.48
680,J4,30,80745.08905844775,-3.81
716,J1,28,93587.1191687797,-1.94
716,J2,31,108909.75258920492,-4.09
716,J3,16,56287.42307224982,-3.56
716,J4,43,128097.30060857379,-14.28
752,J1,27,94329.24513082724,0.06
752,J2,21,67142.43634466248,9.33
752,J3,17,66228.50634225164,-1.66
752,J4,60,169187.91696487874,-18.69
753,J1,32,136115.81511171622,-6.36
753,J2,19,67868.11600705772,1.32
753,J3,15,82480.66814381466,1.18
753,J4,56,161154.80737802954,2.39
754,J1,29,112580.56838208713,1.87
754,J2,21,69284.94443766921,-2.69
754,J3,19,52461.28127137247,-4.52
754,J4,52,151758.21444005822,2.48
755,J1,24,97362.54451131508,4.03
755,J2,16,57471.098857904166,4.43
755,J3,25,121056.45690684048,-7.21
755,J4,46,191678.90700997424,4.08
756,J1,25,87594.92690542608,-1.88
756,J2,18,55035.33889154499,-2.55
756,J3,34,110164.87035249641,-10.10
756,J4,37,179027.96269755467,7.21
757,J1,26,97231.44447212596,-1.97
757,J2,18,65404.776261449006,-0.65
757,J3,37,122682.626338646,-4.23
757,J4,32,119190.30910357488,3.81
758,J1,27,95809.66013571329,-1.96
758,J2,20,78547.14047859819,-2.79
758,J3,40,142408.734379497,-4.42
758,J4,29,82254.93990101892,2.18
759,J1,28,83998.02201808967,-1.84
759,J2,20,60986.85365302439,-0.61
759,J3,43,160353.9622204132,-4.60
759,J4,28,96273.45151275505,0.04
760,J1,27,92355.70779103157,0.08
760,J2,17,59203.05135366382,2.41
760,J3,42,142733.78673510213,-0.43
760,J4,26,86122.71793731804,1.14
761,J1,27,80976.91522674175,-0.81
761,J2,17,55833.12657991762,-0.56
761,J3,40,132039.43767898428,0.68
761,J4,24,84950.09860053349,1.15
762,J1,21,84658.39592285924,5.15
762,J2,19,65405.06959439542,-2.65
762,J3,38,124933.63552550484,0.75
762,J4,21,77428.80528719304,2.23
763,J1,23,69109.83524736573,-2.69
763,J2,21,80803.32774761338,-2.81
763,J3,34,102306.69440762218,2.98
763,J4,24,71266.60499312411,-3.71
764,J1,21,81250.02774568644,1.19
764,J2,19,69905.82814650777,1.30
764,J3,30,95831.99993555798,3.04
764,J4,21,88665.45916287432,2.11
765,J1,23,62196.61017542343,-2.62
765,J2,19,62947.80188974372,-0.63
765,J3,28,87551.27773826699,1.12
765,J4,21,70284.73751169594,-0.70
766,J1,22,71196.84622485569,0.29
766,J2,20,75745.72015720641,-1.76
766,J3,24,74867.97550022224,3.25
766,J4,20,73628.89245011381,0.26
767,J1,26,82676.78379375892,-4.83
767,J2,20,67943.52729472803,-0.68
767,J3,21,78466.22041243018,2.22
767,J4,20,65889.18988337443,-0.66
808,J1,27,97960.3495139449,-1.98
808,J2,16,72792.13003549061,3.27
808,J3,21,67187.96704360058,-0.67
808,J4,26,81776.8499682347,-6.82
843,J1,25,79368.09310507681,1.21
843,J2,20,74846.23124390992,-4.75
843,J3,27,83975.7403456679,-6.84
843,J4,25,110213.05603116655,-0.10
878,J1,22,81992.62788975473,2.18
878,J2,36,112586.1955035512,-17.13
878,J3,24,84937.6698885064,2.15
878,J4,31,90467.19391876277,-6.90
879,J1,24,94480.33178948826,-2.94
879,J2,30,106878.49844736602,4.93
879,J3,24,99231.86768322537,-0.99
879,J4,28,92132.22572619084,2.08
880,J1,29,89153.60791633732,-5.89
880,J2,25,85325.09331185588,4.15
880,J3,28,72654.12660729456,-4.73
880,J4,24,85203.97997471635,3.15
881,J1,28,103950.33941545986,-0.04
881,J2,21,84401.90909778498,3.16
881,J3,27,109798.37290965524,-0.10
881,J4,20,74655.7443528721,3.25
882,J1,33,125079.32659852385,-6.25
882,J2,19,80909.81340738907,1.19
882,J3,27,121855.68445095456,-1.22
882,J4,23,70607.10444644367,-3.71
883,J1,39,124914.13923033423,-7.25
883,J2,19,73408.31284071278,-0.73
883,J3,24,94719.66406524804,2.05
883,J4,16,64895.317817017116,6.35
884,J1,42,141037.52461273,-4.41
884,J2,19,73455.9218642132,-0.73
884,J3,28,96362.80167230987,-4.96
884,J4,16,56025.27961064408,-0.56
885,J1,44,132637.8468032019,-3.33
885,J2,20,57453.689683781355,-1.57
885,J3,26,88004.11846594975,1.12
885,J4,19,62009.6849828305,-3.62
886,J1,38,139668.3752457784,4.60
886,J2,19,71372.90902447977,0.29
886,J3,24,93052.29661153776,1.07
886,J4,20,84490.77752708722,-1.84
887,J1,36,121785.66492870808,0.78
887,J2,18,60456.00618877215,0.40
887,J3,30,108865.68303967034,-7.09
887,J4,21,75513.4358726306,-1.76
888,J1,30,96535.60906353763,5.03
888,J2,18,68660.65552083604,-0.69
888,J3,30,108631.07756676913,-1.09
888,J4,20,77193.50561550481,0.23
889,J1,31,92721.03257152344,-1.93
889,J2,17,60484.637599184935,0.40
889,J3,27,89006.48124215123,2.11
889,J4,20,63549.72276874572,-0.64
890,J1,27,99622.10824317872,3.00
890,J2,17,72518.14600311771,-0.73
890,J3,25,84171.64012923799,1.16
890,J4,19,72102.95181578049,0.28
891,J1,27,81018.37389877098,-0.81
891,J2,20,60409.914552565766,-3.60
891,J3,30,112826.7034077766,-6.13
891,J4,17,67808.16975922846,1.32
892,J1,24,88046.83178827033,2.12
892,J2,17,72080.90604989973,2.28
892,J3,31,98062.64320032416,-1.98
892,J4,17,57771.42346731218,-0.58
893,J1,23,88970.54720345102,0.11
893,J2,15,55248.16880048267,1.45
893,J3,27,101968.02716616805,2.98
893,J4,18,64443.64203469147,-1.64
894,J1,23,84802.01286732222,-0.85
894,J2,17,58410.45576497218,-2.58
894,J3,27,92487.1274820916,-0.92
894,J4,23,86945.32707879641,-5.87
931,J1,25,85160.87930269816,-2.85
931,J2,17,66682.08969441085,-0.67
931,J3,24,73927.74539363127,2.26
931,J4,16,69592.33034486446,6.30
967,J1,34,98227.49937019454,-9.98
967,J2,25,86874.6352904609,-8.87
967,J3,23,85834.80988450984,0.14
967,J4,20,79782.5369725007,-4.80
1002,J1,28,93171.92675987651,5.07
1002,J2,21,77630.50311683623,3.22
1002,J3,19,60459.40414109591,3.40
1002,J4,34,102296.58882143052,-15.02
1003,J1,30,120348.71261036894,-3.20
1003,J2,19,64763.03100785445,1.35
1003,J3,22,117815.4251856597,-4.18
1003,J4,25,106163.32116026158,7.94
1004,J1,28,121109.06661489289,0.79
1004,J2,17,66662.44721874957,1.33
1004,J3,25,93251.81316554891,-3.93
1004,J4,24,75938.07803828434,0.24
1005,J1,31,94560.53838740276,-3.95
1005,J2,17,54127.809827148696,-0.54
1005,J3,28,104912.1632308856,-4.05
1005,J4,23,86409.47670127645,0.14
1006,J1,25,106458.999251675,4.94
1006,J2,17,61684.82006122808,-0.62
1006,J3,32,107217.28821959312,-5.07
1006,J4,18,64009.93938379009,4.36
1007,J1,27,87660.8202041416,-2.88
1007,J2,16,58147.74242009615,0.42
1007,J3,35,135917.64479081787,-4.36
1007,J4,21,63279.08093934348,-3.63
1008,J1,25,94435.2329788155,1.06
1008,J2,18,76148.82587342884,-2.76
1008,J3,35,126242.67013550163,-1.26
1008,J4,17,75427.3708980278,3.25
1009,J1,24,86339.89204545837,0.14
1009,J2,19,56821.49689485455,-1.57
1009,J3,36,130437.00336605885,-2.30
1009,J4,19,70290.24942322014,-2.70
1010,J1,24,87891.87190930368,-0.88
1010,J2,20,77650.42225331985,-1.78
1010,J3,33,106284.31975437807,1.94
1010,J4,19,70822.55902104046,-0.71
1011,J1,27,82380.06048785808,-3.82
1011,J2,20,67821.41648826064,-0.68
1011,J3,31,107975.48064697716,0.92
1011,J4,18,53923.20072477293,0.46
1012,J1,21,82635.55383298192,5.17
1012,J2,17,67849.62214342972,2.32
1012,J3,30,109397.35803378245,-0.09
1012,J4,17,72760.27236223451,0.27
1013,J1,23,74621.5534794644,-2.75
1013,J2,19,71040.94392232769,-2.71
1013,J3,28,92581.39574623316,1.07
1013,J4,19,74153.44147003976,-2.74
1014,J1,22,81229.46559687401,0.19
1014,J2,21,74341.97469021297,-2.74
1014,J3,25,90997.43628380164,2.09
1014,J4,22,64389.01652768114,-3.64
1015,J1,21,64734.8920031459,0.35
1015,J2,18,73177.39163211895,2.27
1015,J3,24,84326.62963768917,0.16
1015,J4,17,64873.18406751519,4.35
1016,J1,22,73039.96584370238,-1.73
1016,J2,19,63402.489952096344,-1.63
1016,J3,23,76226.33086086049,0.24
1016,J4,21,68089.54287577941,-4.68
1017,J1,18,67279.73961724096,3.33
1017,J2,19,73193.55993169671,-0.73
1017,J3,22,75553.59047556244,0.24
1017,J4,21,78432.23275021516,-0.78
1018,J1,20,77325.91852568462,-2.77
1018,J2,18,66407.895285088,0.34
1018,J3,18,74801.22822954698,3.25
1018,J4,22,72151.20746086427,-1.72
1056,J1,20,85302.84669313881,-0.85
1056,J2,19,82719.3067847238,-1.83
1056,J3,15,71188.46707653331,2.29
1056,J4,17,74322.1484693044,4.26
1091,J1,20,76707.59171203859,-0.77
1091,J2,27,77845.6665858403,-8.78
1091,J3,24,75004.36286674935,-9.75
1091,J4,23,86178.84744582254,-6.86
1126,J1,30,103156.62380356566,-11.03
1126,J2,25,93061.01547076006,1.07
1126,J3,28,88725.91627986525,-4.89
1126,J4,24,69711.63539672806,-1.70
1127,J1,26,82329.43176702836,3.18
