Step,Agent,Action,Reason
310,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
311,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
312,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
313,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
314,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
315,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
316,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
317,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
318,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
319,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
320,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
321,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
322,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
323,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
324,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
325,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
326,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
327,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
328,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
329,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
330,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
331,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
332,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
333,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
334,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
335,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
336,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
337,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
338,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
339,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J1_J2
340,J1,Green EW,High Congestion (25 cars). Clearing queue.
340,J2,Green EW,High Congestion (21 cars). Clearing queue.
340,J3,Green EW,High Congestion (14 cars). Clearing queue.
340,J4,Green NS,High Congestion (30 cars). Clearing queue.
341,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
342,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
343,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
344,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
345,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
346,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
347,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
348,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
349,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
350,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
351,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
352,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
353,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
354,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
355,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
356,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
357,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
358,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
